"";"mouse";"human";"mousemodule";"Taman_UC_logFC";"Lloyd_UC_logFC";"Lloyd_CD_logFC";"Taman_UC_reg";"Lloyd_UC_reg";"Lloyd_CD_reg"
"2057";"C2cd4a";"C2CD4A";NA;3,72449497059209;3,6965983936329;2,67122964613636;"up";"up";"up"
"12950";"Lilra6";"LILRA3";2;NA;3,50438330284125;4,08013181371284;NA;"up";"up"
"4165";"Cxcl5";"CXCL6";2;4,06497072300403;3,32448507722407;3,84906011821224;"up";"up";"up"
"12165";"Gm5414";"KRT6B";NA;NA;5,81242277095275;4,71630464581802;NA;"up";"up"
"21456";"Serpinb3a";"SERPINB3";NA;NA;9,73970960725778;8,46836876843156;NA;"up";"up"
"21873";"Slc23a1";"SLC23A1";NA;-1,08245959628197;-1,85014846587046;-1,8271762177565;"down";"down";"down"
"6191";"Fam83a";"FAM83A";NA;4,11473396275947;4,48023287356488;3,31163567833479;"up";"up";"up"
"21460";"Serpinb3a";"SERPINB4";NA;NA;8,98855720602525;7,78497348813758;NA;"up";"up"
"4151";"Cxcl10";"CXCL10";1;2,2020638452769;3,10263905530292;3,33417357883013;"up";"up";"up"
"5083";"Dmbt1";"DMBT1";3;3,48805284507809;4,39729351486093;3,29775615781323;"up";"up";"up"
"21179";"Sbsn";"SBSN";NA;NA;5,12543861890054;6,52608262146897;NA;"up";"up"
"4157";"Cxcl17";"CXCL17";NA;NA;6,09909570437661;5,65451161860953;NA;"up";"up"
"19550";"Prodh";"PRODH";NA;NA;-1,55263411480268;-1,48213485250608;NA;"down";"down"
"6445";"Ffar2";"FFAR2";NA;3,02128076692948;2,35758468993901;2,96944926726353;"up";"up";"up"
"11262";"Il1b";"IL1B";2;3,27932659868094;3,61914204743351;3,8868622898924;"up";"up";"up"
"14473";"Mmp7";"MMP7";2;5,31882162226882;6,13412746704989;4,83697492529587;"up";"up";"up"
"15034";"Mylk3";"MYLK3";NA;NA;-1,48472774060774;-1,62341379980499;NA;"down";"down"
"11536";"Itih3";"ITIH3";NA;NA;-1,53851591552714;-1,80202179061894;NA;"down";"down"
"3961";"Csf3r";"CSF3R";2;2,62883889045858;2,67962519865989;3,25019147703262;"up";"up";"up"
"11307";"Il6";"IL6";NA;NA;4,22802766937935;5,1533948834788;NA;"up";"up"
"5542";"Egfl6";"EGFL6";NA;NA;2,88495877384193;3,68460288395177;NA;"up";"up"
"3476";"Clec4d";"CLEC4D";2;NA;4,42676731749641;4,71020129189776;NA;"up";"up"
"21107";"Saa4";"SAA4";2;NA;6,06847338726257;5,17388565648635;NA;"up";"up"
"21342";"Sele";"SELE";2;3,29868362307509;4,32160552083839;4,24885903674296;"up";"up";"up"
"13333";"Lypd5";"LYPD5";NA;3,06548718394786;3,45765894764708;2,19918510337994;"up";"up";"up"
"20409";"Reg3a";"REG3G";NA;NA;NA;-2,42624562091915;NA;NA;"down"
"21087";"S100a7a";"S100A7";NA;NA;5,21179017634861;6,52666577408964;NA;"up";"up"
"24283";"Tmprss15";"TMPRSS15";NA;NA;NA;-3,25506053239941;NA;NA;"down"
"3555";"Cmtm2a";"CMTM2";NA;NA;4,53377330577952;5,30039457767312;NA;"up";"up"
"20339";"Rbp2";"RBP2";7;-1,16892101772291;-2,21398027596087;-2,21691113957417;"down";"down";"down"
"12161";"Gm5414";"KRT6A";NA;NA;6,90616678427967;6,03159806720203;NA;"up";"up"
"8987";"Hsd3b1";"HSD3B1";NA;NA;-2,17347884296776;-1,97938341167725;NA;"down";"down"
"3168";"Cfb";"CFB";NA;3,21240573966802;2,37747870832253;1,83147816955759;"up";"up";"up"
"26081";"Wnt2";"WNT2";NA;NA;4,8198701699823;5,09593293627207;NA;"up";"up"
"24320";"Tnfaip6";"TNFAIP6";NA;1,6406244220685;2,58698967359233;3,51437127723694;"up";"up";"up"
"15416";"Nfe2";"NFE2";NA;NA;3,20665861691278;3,31559367219399;NA;"up";"up"
"2318";"Card14";"CARD14";3;NA;3,08795103928013;1,59572500797947;NA;"up";"up"
"21769";"Slc11a1";"SLC11A1";2;1,7888865951666;2,67320420829709;3,03833018892137;"up";"up";"up"
"3486";"Clec4n";"CLEC6A";2;NA;3,14923913426166;3,93478140300596;NA;"up";"up"
"21536";"Sfrp2";"SFRP2";7;NA;3,65498728280957;4,54591456534816;NA;"up";"up"
"36";"Abca12";"ABCA12";NA;4,46103086665154;5,60366230798455;4,26820129741278;"up";"up";"up"
"12835";"Lcn2";"LCN2";2;4,94599758715116;3,4070355430314;2,65496383668321;"up";"up";"up"
"6986";"Gbp5";"GBP5";1;2,21792813147863;1,77570958243449;2,39558179533167;"up";"up";"up"
"2592";"Ccl3";"CCL3";2;NA;NA;3,86835660542504;NA;NA;"up"
"4166";"Cxcl9";"CXCL9";1;2,78524976292856;2,14105464137442;3,19145400960045;"up";"up";"up"
"11271";"Il1rn";"IL1RN";3;2,68750551420395;3,35058947951063;3,04974452451143;"up";"up";"up"
"3477";"Clec4e";"CLEC4E";2;3,3704422896672;2,83706870323287;3,64070340495639;"up";"up";"up"
"2707";"Cd274";"CD274";2;2,147289751809;2,22361671762654;2,15407084253027;"up";"up";"up"
"7678";"Gzmb";"GZMB";1;3,16266158894628;2,24773342073862;2,64556061126889;"up";"up";"up"
"13306";"Ly6d";"LY6D";2;NA;7,11439239988981;6,00409953195394;NA;"up";"up"
"3198";"Chac1";"CHAC1";2;1,94957472410392;2,58467593319963;1,86819860570031;"up";"up";"up"
"11250";"Il17f";"IL17F";2;NA;3,69235794168436;3,81676923046957;NA;"up";"up"
"22113";"Slc6a14";"SLC6A14";7;5,65618221721543;4,87570381342049;3,51021696329771;"up";"up";"up"
"15998";"Olfm4";"OLFM4";2;3,49330440530802;4,05803056420414;2,79107454677412;"up";"up";"up"
"25949";"Vwde";"VWDE";NA;NA;NA;4,19320404835682;NA;NA;"up"
"6389";"Fcgr1";"FCGR1A";1;1,50306487800209;1,46885280122358;2,27360362133833;"up";"up";"up"
"6265";"Fap";"FAP";NA;2,19842375332041;2,65846260050503;3,16598420577994;"up";"up";"up"
"11814";"Khk";"KHK";6;NA;-1,03913361342619;-1,25700781975409;NA;"down";"down"
"21482";"Serpine1";"SERPINE1";2;2,5835296273106;3,52728693107395;2,93310920439184;"up";"up";"up"
"1625";"Bcl2a1a";"BCL2A1";2;2,04791282583069;NA;3,64328557222201;"up";NA;"up"
"3694";"Col7a1";"COL7A1";NA;1,70502439365818;2,5289449793742;3,13349486674992;"up";"up";"up"
"17404";"Pcdhb10";"PCDHB5";NA;NA;NA;4,27540146181982;NA;NA;"up"
"11452";"Irf1";"IRF1";1;1,40860029567481;1,15675428603192;1,10127176620222;"up";"up";"up"
"19868";"Ptgs2";"PTGS2";2;1,28195369432245;2,94318759937604;2,97646477461949;"up";"up";"up"
"15626";"Nos2";"NOS2";2;4,03293393781139;3,54201520556427;2,49726688254239;"up";"up";"up"
"25259";"Ube2l6";"UBE2L6";1;1,72835116787654;1,25511532792521;1,23902493656719;"up";"up";"up"
"4519";"Dcstamp";"DCSTAMP";2;NA;2,87338318237251;2,86814129226307;NA;"up";"up"
"2103";"C4bp";"C4BPA";NA;1,96200907318482;4,43349787057263;2,85440510260694;"up";"up";"up"
"12773";"Lbp";"LBP";2;NA;3,64612145737988;3,92961107779113;NA;"up";"up"
"26121";"Xirp1";"XIRP1";NA;NA;3,04140107369055;4,13339649955326;NA;"up";"up"
"11242";"Il13ra2";"IL13RA2";1;3,33263056329046;3,90341604797597;3,06842411757495;"up";"up";"up"
"81";"Abcg5";"ABCG5";6;NA;NA;-2,34031734126891;NA;NA;"down"
"19787";"Psmb9";"PSMB9";1;1,7152568320762;1,23960125852235;1,25204284543085;"up";"up";"up"
"22105";"Slc5a9";"SLC5A9";3;NA;-1,26079928713659;-1,554033585453;NA;"down";"down"
"987";"Apol10a";"APOL1";NA;1,84376163167791;2,22509890667435;1,46668396653183;"up";"up";"up"
"4233";"Cyp27b1";"CYP27B1";NA;1,34685783020738;1,15855682834792;1,67116878385458;"up";"up";"up"
"17666";"Pgc";"PGC";NA;NA;NA;4,06798079853296;NA;NA;"up"
"5344";"Duox2";"DUOX2";2;5,73000486821898;4,37673404426593;3,17670156613436;"up";"up";"up"
"17633";"Pf4";"PF4";2;NA;2,24359735156018;1,71731349384194;NA;"up";"up"
"15680";"Npsr1";"NPSR1";NA;NA;6,75739253637168;4,12657914998873;NA;"up";"up"
"959";"Apln";"APLN";NA;NA;1,92161230310729;1,70414844195772;NA;"up";"up"
"4279";"Cyp2d10";"CYP2D6";7;NA;-1,72668972747022;-1,57771413870813;NA;"down";"down"
"82";"Abcg8";"ABCG8";6;NA;NA;-2,14661031725887;NA;NA;"down"
"7642";"Gtpbp6";"GTPBP6";NA;NA;NA;2,86483450099815;NA;NA;"up"
"3485";"Clec5a";"CLEC5A";2;NA;2,85318880412512;2,71393152724959;NA;"up";"up"
"13614";"Maob";"MAOB";7;NA;NA;-1,06067331217055;NA;NA;"down"
"20665";"Rnd1";"RND1";2;3,12081256965524;2,89938658165807;1,99383427117906;"up";"up";"up"
"19522";"Prkg2";"PRKG2";2;-3,37358014889226;-1,84361801608121;-1,69971898305042;"down";"down";"down"
"9170";"Ifitm2";"IFITM2";NA;1,51821398993341;1,31614418076655;1,97420745013005;"up";"up";"up"
"4271";"Cyp2c29";"CYP2C9";NA;NA;NA;-1,90655303229367;NA;NA;"down"
"15538";"Nlrp12";"NLRP12";NA;NA;2,47636165246203;2,43328871004466;NA;"up";"up"
"2346";"Casp4";"CASP5";2;2,261100323873;2,25160955175686;1,49675167924649;"up";"up";"up"
"17557";"Pdpn";"PDPN";NA;2,34655473769916;2,66752112913506;2,24838765555369;"up";"up";"up"
"7204";"Glt1d1";"GLT1D1";NA;NA;2,62271150346731;2,9883501050302;NA;"up";"up"
"13870";"Mefv";"MEFV";2;1,76565954096129;1,79521827070354;2,05500603141855;"up";"up";"up"
"2586";"Ccl25";"CCL25";NA;NA;-2,28966463061985;-2,32245207002423;NA;"down";"down"
"24327";"Tnfrsf10b";"TNFRSF10C";NA;2,70852825601115;2,30442205131977;2,42674178786642;"up";"up";"up"
"21133";"Samd9l";"SAMD9L";2;1,54785331781863;1,47558658187285;1,1446277866317;"up";"up";"up"
"6397";"Fcgr4";"FCGR3A";2;2,1335901883859;1,83344738388689;1,89618073191758;"up";"up";"up"
"23446";"Tap1";"TAP1";1;1,43656413810248;1,08491093990528;1,03420458807944;"up";"up";"up"
"2933";"Ceacam11";"CEACAM4";NA;NA;2,58855630696437;2,45828632763028;NA;"up";"up"
"7347";"Gpd1";"GPD1";4;NA;NA;-1,49629983500201;NA;NA;"down"
"9168";"Ifitm1";"IFITM1";2;1,39228167240434;1,40277836205236;1,37101524089681;"up";"up";"up"
"15697";"Nr0b2";"NR0B2";NA;NA;-1,01020753919946;-1,11497960826645;NA;"down";"down"
"23844";"Thbs2";"THBS2";7;NA;2,34047674235082;2,97982165997469;NA;"up";"up"
"8973";"Hsd11b1";"HSD11B1";2;1,4042352727865;1,63881568405326;2,16427483156021;"up";"up";"up"
"15177";"Nat8";"NAT8";NA;NA;-2,52364754589702;-2,20753765758511;NA;"down";"down"
"6984";"Gbp3";"GBP4";1;1,73732599259401;1,42338173481586;1,60200475924016;"up";"up";"up"
"13044";"Lipn";"LIPN";NA;NA;3,26198876984567;3,53361266658983;NA;"up";"up"
"20629";"Rmrp";"RMRP";NA;NA;-1,4242265972359;-1,33382968901043;NA;"down";"down"
"12184";"Krt80";"KRT80";NA;NA;3,46365095806626;2,55103391380941;NA;"up";"up"
"6063";"Fam151a";"FAM151A";NA;-1,5904587239963;-2,62199409815923;-1,78854001701325;"down";"down";"down"
"12964";"Lilra5";"LILRA5";2;2,33202137488383;2,47420207048252;2,81704768320356;"up";"up";"up"
"11261";"Il1a";"IL1A";3;1,82037175110258;3,03468683155942;2,8995770327015;"up";"up";"up"
"11676";"Kcnd3";"KCND3";7;2,85688736457536;2,5228366435028;1,73653052358304;"up";"up";"up"
"9166";"Ifit3";"IFIT3";1;1,66963052174134;1,38365390761405;1,41072324402866;"up";"up";"up"
"2040";"C2";"C2";1;1,69238078673146;1,63040532712357;1,28844414680343;"up";"up";"up"
"26265";"Zc3h12a";"ZC3H12A";2;2,19016173098627;2,08533265255385;1,4678803903705;"up";"up";"up"
"5726";"Enkur";"ENKUR";NA;2,59309173271119;3,17429154715728;2,05485265762664;"up";"up";"up"
"11692";"Kcnh6";"KCNH6";6;NA;-1,64273087931025;-1,04156685188808;NA;"down";"down"
"25915";"Vsig1";"VSIG1";2;2,80209676852024;4,28131961567061;2,67279270710949;"up";"up";"up"
"7490";"Grhl3";"GRHL3";2;2,26746825939722;3,06304855513369;1,88593876768254;"up";"up";"up"
"618";"Aldh3b2";"ALDH3B2";1;NA;2,40031958351399;1,57069404940582;NA;"up";"up"
"23095";"Stat1";"STAT1";1;1,47624747768927;1,03299340331064;1,11810003907466;"up";"up";"up"
"3655";"Col10a1";"COL10A1";NA;NA;NA;3,32661675199285;NA;NA;"up"
"11286";"Il27";"IL27";NA;NA;2,43320591611748;2,92116906019272;NA;"up";"up"
"17880";"Pklr";"PKLR";NA;NA;-1,88239239910936;-1,51871680435227;NA;"down";"down"
"25923";"Vsnl1";"VSNL1";NA;1,4619702034795;1,31465386573653;1,06552623526897;"up";"up";"up"
"2595";"Ccl4";"CCL4";2;NA;NA;2,65145071318392;NA;NA;"up"
"15433";"Nfkbiz";"NFKBIZ";2;1,44128507970507;1,48228374419985;1,13285138475204;"up";"up";"up"
"1583";"Batf2";"BATF2";2;1,2651726544678;1,25226415786942;1,01681616465633;"up";"up";"up"
"14484";"Ifi203";"MNDA";2;1,44715731201606;1,59018104507369;1,82697643057761;"up";"up";"up"
"6947";"Gas1";"GAS1";7;NA;NA;2,99805870361181;NA;NA;"up"
"18277";"Ppbp";"PPBP";NA;NA;3,26831389482914;3,17033011200068;NA;"up";"up"
"1605";"Bcan";"BCAN";NA;NA;-1,68969805496123;-1,40707534486592;NA;"down";"down"
"3275";"Chrdl2";"CHRDL2";NA;3,34161185861367;3,2979649316275;2,73685806716952;"up";"up";"up"
"4069";"Cthrc1";"CTHRC1";NA;NA;2,3018122368401;2,12691572204308;NA;"up";"up"
"3846";"Cpxm1";"CPXM1";1;2,7090669995276;2,30044960326327;2,05927468124036;"up";"up";"up"
"9173";"Ifitm2";"IFITM3";NA;1,56803635758298;1,47241720553958;1,20332021804362;"up";"up";"up"
"673";"Alpl";"ALPL";2;2,22600603708615;2,00054107742114;2,08797087198605;"up";"up";"up"
"19873";"Pthlh";"PTHLH";NA;NA;NA;3,06777626406368;NA;NA;"up"
"8560";"Hk3";"HK3";2;1,40666899860273;1,65940501693247;1,65926980967789;"up";"up";"up"
"22847";"Srpx2";"SRPX2";NA;NA;1,7935827257341;1,3031777846422;NA;"up";"up"
"26216";"Zbp1";"ZBP1";1;2,28521316680899;1,9621361215157;1,40688199114442;"up";"up";"up"
"7436";"Gpr84";"GPR84";2;NA;2,34273268972045;2,51548841083561;NA;"up";"up"
"8488";"Hephl1";"HEPHL1";NA;NA;NA;3,71429840650027;NA;NA;"up"
"9442";"Ighg";"IGHG3";NA;NA;4,64982278678274;3,09370345434783;NA;"up";"up"
"13329";"Lypd1";"LYPD1";1;NA;2,75202651932357;2,27391931234167;NA;"up";"up"
"6836";"G0s2";"G0S2";3;NA;NA;2,9194383070334;NA;NA;"up"
"17674";"Pglyrp1";"PGLYRP1";2;NA;3,04202122802938;2,81595201771085;NA;"up";"up"
"11299";"Il36rn";"IL36RN";NA;NA;5,21359113312047;3,89778186009065;NA;"up";"up"
"22752";"Sprr1b";"SPRR1B";NA;NA;7,72413746385218;5,20370299578878;NA;"up";"up"
"24751";"Treh";"TREH";NA;NA;-1,67114955724255;-1,18457384275461;NA;"down";"down"
"7018";"Gcnt4";"GCNT4";3;NA;-1,10626672676756;-1,13344536368716;NA;"down";"down"
"12707";"L1td1";"L1TD1";NA;NA;2,71911009344191;1,81105890315447;NA;"up";"up"
"15232";"Ncf2";"NCF2";2;1,13015947058992;1,31618841365093;1,53113595971756;"up";"up";"up"
"2561";"Ccl11";"CCL11";1;NA;3,43692102849751;2,12272530476645;NA;"up";"up"
"17926";"Plau";"PLAU";NA;1,937603446024;1,84598061647548;1,75639305242984;"up";"up";"up"
"17199";"P4ha3";"P4HA3";NA;NA;1,90109763085183;2,19308802573579;NA;"up";"up"
"23233";"Sult1e1";"SULT1E1";NA;NA;NA;-2,11178833826589;NA;NA;"down"
"20712";"Rnf183";"RNF183";3;NA;2,42860155509131;1,49634757720358;NA;"up";"up"
"13039";"Lipg";"LIPG";NA;1,97046993996879;1,57315478090929;1,07107213517449;"up";"up";"up"
"23823";"Tgm2";"TGM2";3;1,67093758829357;2,29295583697444;1,51990334174439;"up";"up";"up"
"3853";"Crabp2";"CRABP2";NA;NA;2,07225476074883;1,92700483994617;NA;"up";"up"
"7546";"Gsdmc";"GSDMC";7;NA;2,93563464991843;2,48307632436151;NA;"up";"up"
"1661";"Bean1";"BEAN1";NA;NA;3,37190850232196;2,54935449731696;NA;"up";"up"
"3447";"Clec12a";"CLEC12A";2;NA;1,18746475411234;1,54035957991707;NA;"up";"up"
"9101";"Icam5";"ICAM5";NA;NA;1,37335408319531;1,12553733072741;NA;"up";"up"
"22699";"Spink4";"SPINK4";1;2,53902989850429;3,58453637808771;2,10501687441867;"up";"up";"up"
"23975";"Tm4sf19";"TM4SF19";NA;NA;2,00688338005624;2,19311324060484;NA;"up";"up"
"9098";"Icam1";"ICAM1";2;1,96624049912867;1,65410395689479;1,4159977353832;"up";"up";"up"
"15145";"Nampt";"NAMPT";1;1,40702811816602;1,45087512537446;1,23487405748824;"up";"up";"up"
"5747";"Entpd3";"ENTPD3";NA;NA;1,73477391318077;1,17516563769329;NA;"up";"up"
"22132";"Slc7a11";"SLC7A11";2;1,74025742774681;1,90023810090684;1,13094280709674;"up";"up";"up"
